cod,name,provincias,population,var_mayores_64_años_(2018),var_extranjeros_(2018),var_hombres_(2018),var_mujeres_(2018),var_edad_media_(2018),var_suelo_urbano,var_analfabetos_+_sin_estudios_(2011),var_estudios_primer_grado_(2011),var_estudios_segundo_grado_(2011),var_tasa_paro_calculada_(2019),var_renta_media_total_(2016),party_PP,party_PSOE,party_Ciudadanos,party_Podemos,party_Vox,var_Abstención_(29A)
36026,Marín,Pontevedra,24362,20.67,3.02,49.98,50.02,44.07,6.97,11.52,12.50,50.10,9.81,19023,30.34,27.74,11.92,15.84,5.94,28.02
36029,Moaña,Pontevedra,19448,20.10,1.54,48.51,51.49,43.97,9.46,11.62,13.41,52.24,11.32,17516,22.37,29.3,10.13,22.41,2.82,24.17
36033,Mos,Pontevedra,15142,19.37,3.02,49.47,50.53,43.65,4.93,7.70,15.10,55.55,10.11,17580,24.68,33.48,10.06,19.68,3.54,21.98
36035,Nigrán,Pontevedra,17723,21.10,2.84,49.09,50.91,44.56,4.26,8.31,11.39,48.99,8.99,22462,24.44,32.64,14.12,16.43,5.41,23.86
36038,Pontevedra,Pontevedra,82802,20.16,3.53,47.33,52.67,43.66,14.17,5.56,10.49,45.44,10.72,21327,23.44,32.43,12.59,15.23,5.83,23.72
36039,O Porriño,Pontevedra,19740,15.97,5.05,49.32,50.68,41.04,28.89,8.15,20.38,47.66,11.85,17663,23.77,30.21,11.05,21.74,4.53,24.13
36041,Poio,Pontevedra,17018,18.78,2.95,49.60,50.40,42.48,21.04,9.28,13.43,45.76,9.84,19675,28.44,27.69,13.28,13.86,7.05,25.86
36042,Ponteareas,Pontevedra,22854,17.61,3.61,48.53,51.47,41.90,0.73,10.05,13.03,49.60,14.26,16715,23.18,30.56,10.56,21.08,4.55,26.33
36045,Redondela,Pontevedra,29194,21.76,1.49,48.71,51.29,44.89,11.41,10.65,14.09,51.67,9.47,17928,21.23,35.78,8.74,21.32,3.44,23.92
36051,Sanxenxo,Pontevedra,17212,22.59,2.62,49.31,50.69,44.72,31.06,14.18,17.85,41.69,10.63,16839,33.16,28.38,11.69,13.62,5.25,27.43
36054,Tomiño,Pontevedra,13464,21.22,3.36,50.37,49.63,44.32,19.98,12.20,15.17,51.37,10.73,17236,27.18,30.34,9.67,16.04,4.53,27.48
36055,Tui,Pontevedra,16902,21.19,5.14,48.30,51.70,43.88,19.22,10.44,12.23,49.67,10.80,17679,28.01,29.06,12.31,14.21,5.65,26.89
36057,Vigo,Pontevedra,293642,22.01,4.42,47.33,52.67,44.75,34.49,6.83,12.21,48.36,11.88,21343,18.09,36.41,11.92,20.99,4.65,23.62
36060,Vilagarcía de Arousa,Pontevedra,37519,20.47,3.68,47.90,52.10,43.80,22.07,6.95,13.82,49.81,13.95,17958,23.08,33.81,12.32,16.52,5.09,26.11
36061,Vilanova de Arousa,Pontevedra,10352,24.07,1.70,48.64,51.36,45.39,,15.00,16.65,45.47,11.91,14930,41.25,25.74,9.4,9.83,5.18,24.6
28005,Alcalá de Henares,Madrid,193751,17.24,15.39,48.70,51.30,41.68,17.88,6.71,10.12,49.81,9.84,22098,15.83,30.29,21.92,15.06,13.5,20.42
28006,Alcobendas,Madrid,116037,15.91,13.28,47.93,52.07,39.95,41.51,5.84,8.60,42.11,6.02,38106,20.13,26.71,22.69,12.79,14.57,19.5
28007,Alcorcón,Madrid,169502,22.09,9.31,48.23,51.77,43.16,40.02,7.22,11.10,47.56,8.98,21900,17.35,30.54,20.13,17.29,11.52,18.71
28009,Algete,Madrid,20473,11.59,10.01,49.29,50.71,38.45,14.93,4.12,6.43,46.40,6.32,29185,17.53,23.79,25.12,12.41,17.85,19.6
28010,Alpedrete,Madrid,14364,12.98,7.07,48.99,51.01,39.05,32.91,4.52,6.14,41.67,7.02,26431,18.43,21.03,23.93,15.65,17.65,17.37
28013,Aranjuez,Madrid,59037,16.22,11.97,48.74,51.26,40.29,4.41,7.12,10.88,44.49,11.09,21925,16.69,28.76,19.7,15.36,16.54,22.95
28014,Arganda del Rey,Madrid,54554,11.77,21.42,50.18,49.82,38.06,7.90,6.19,9.22,53.41,11.39,20177,16.16,27.45,21.67,15.03,16.51,21.2
28015,Arroyomolinos,Madrid,30052,5.09,6.41,50.24,49.76,32.47,9.35,2.12,5.33,43.89,6.73,24642,14.44,21.32,27.94,13.65,19.71,16.42
28022,Boadilla del Monte,Madrid,52626,10.99,6.69,48.84,51.16,36.69,37.21,1.43,3.36,32.96,4.08,40326,25.93,16.01,28.07,8.13,19.64,13.66
28026,Brunete,Madrid,10596,11.77,19.71,49.16,50.84,38.18,3.83,2.84,6.23,45.75,6.84,25043,20.5,19.28,22.41,15.19,19.84,19.11
28040,Ciempozuelos,Madrid,24087,13.58,14.91,50.34,49.66,39.43,8.70,5.92,6.90,49.04,9.78,19409,13.82,28.73,19.7,17.15,17.34,29.7
28045,Colmenar Viejo,Madrid,49498,13.03,11.96,49.41,50.59,38.99,3.86,6.23,9.16,44.50,7.53,25321,17.6,25.25,22.71,15.86,15.35,20.94
28047,Collado Villalba,Madrid,63074,13.25,16.94,48.71,51.29,39.64,35.97,5.20,7.73,47.28,9.10,22223,15.92,27.05,21.63,17.54,14.32,22.17
28049,Coslada,Madrid,81860,17.82,16.62,48.99,51.01,42.66,74.03,6.56,11.50,55.85,8.00,21233,13.09,32.34,21.12,19.68,10.21,17.14
28053,Daganzo de Arriba,Madrid,10061,6.72,7.22,49.79,50.21,35.14,3.76,2.64,5.86,46.88,6.54,25245,13.7,23.91,26.21,15.54,17.58,15.25
28054,El Escorial,Madrid,15842,16.83,10.40,49.37,50.63,42.11,9.58,4.25,7.68,43.24,7.29,25082,18.23,24.52,20.19,16.56,17.62,20.31
28058,Fuenlabrada,Madrid,193586,11.37,10.21,49.30,50.70,39.36,30.05,6.02,12.06,55.21,9.64,18690,10.95,33.73,20.72,18.06,12.71,20.19
28061,Galapagar,Madrid,33379,12.36,15.87,49.05,50.95,39.08,19.83,5.84,7.12,41.77,7.39,27099,17.05,23.94,21.72,15.89,18.43,19.14
28065,Getafe,Madrid,180747,19.01,12.35,48.94,51.06,41.55,22.18,9.33,11.80,48.80,8.78,22070,13.52,32.47,19.36,19.87,11.33,18.03
28066,Griñón,Madrid,10178,13.69,7.41,49.60,50.40,39.61,20.95,3.56,9.39,50.99,6.38,23606,19.21,17.35,23.65,11.14,25.63,18.76
28068,Guadarrama,Madrid,15785,16.72,10.37,49.28,50.72,41.25,10.44,4.63,9.56,43.41,7.24,23828,19.71,23.22,20.38,13.74,20.17,21.05
28073,Humanes de Madrid,Madrid,19587,7.99,13.23,50.23,49.77,35.04,17.81,8.59,11.48,51.01,10.36,18623,12.64,28.43,21.62,16.21,17.53,22.05
28074,Leganés,Madrid,188425,21.60,9.90,48.54,51.46,42.97,23.24,11.15,11.47,49.44,9.54,20647,13.51,34.72,18.72,19.0,10.6,19.23
28079,Madrid,Madrid,3223334,20.38,13.19,46.54,53.46,43.55,25.91,6.52,9.74,40.75,7.97,29400,20.93,27.04,19.91,16.51,12.74,21.14
28080,Majadahonda,Madrid,71785,15.53,10.75,47.39,52.61,39.48,25.32,2.69,4.13,31.81,4.57,38689,26.52,18.24,25.79,8.25,18.79,15.79
28083,Meco,Madrid,13959,7.64,12.61,50.52,49.48,36.15,11.88,2.84,8.80,51.85,8.25,21929,12.46,24.63,25.66,15.65,17.88,19.36
28084,Mejorada del Campo,Madrid,23241,11.12,13.24,49.70,50.30,38.45,16.09,5.59,10.58,58.46,9.40,19459,12.18,29.29,21.59,19.37,13.9,22.26
28090,Moralzarzal,Madrid,12697,12.57,8.83,49.95,50.05,39.11,8.41,4.33,6.12,40.14,6.81,27179,17.48,23.28,23.18,17.22,15.67,16.85
28092,Móstoles,Madrid,207095,19.01,11.22,48.74,51.26,42.16,37.52,7.61,11.97,53.48,9.36,19853,15.25,31.07,20.37,17.23,12.68,20.8
28096,Navalcarnero,Madrid,28305,11.38,10.29,49.98,50.02,36.84,3.06,6.92,8.54,46.28,9.31,21286,15.65,25.22,23.08,13.54,19.29,21.33
28104,Paracuellos de Jarama,Madrid,24521,7.10,12.16,50.55,49.45,33.77,9.12,2.26,3.72,39.45,5.18,30741,15.36,20.51,29.59,12.95,18.57,15.8
28106,Parla,Madrid,128256,10.88,20.40,49.77,50.23,36.60,12.92,8.07,12.04,50.99,11.26,18595,10.35,32.06,19.49,19.74,13.98,24.64
28113,Pinto,Madrid,51541,12.02,10.03,49.52,50.48,38.03,10.74,5.67,9.11,49.36,8.88,21948,12.64,29.59,22.14,18.24,13.69,18.46
28115,Pozuelo de Alarcón,Madrid,86172,16.73,8.04,47.92,52.08,40.31,58.02,2.91,4.92,30.21,4.17,53428,29.56,16.84,24.84,6.98,19.8,14.78
28123,Rivas-Vaciamadrid,Madrid,85893,7.10,8.60,49.62,50.38,35.90,19.66,3.05,4.57,49.08,6.58,25551,9.2,28.4,22.12,26.2,10.77,14.61
28127,Las Rozas de Madrid,Madrid,95550,12.86,8.27,48.40,51.60,38.21,43.78,1.67,3.43,31.18,4.70,38258,23.31,18.2,27.42,9.19,19.38,15.42
28129,San Agustín del Guadalix,Madrid,13273,8.96,13.89,49.02,50.98,36.17,6.16,2.31,4.34,46.23,5.87,33937,17.47,22.66,26.97,12.74,17.0,19.28
28130,San Fernando de Henares,Madrid,39466,12.78,13.22,48.67,51.33,40.50,11.42,5.88,9.50,55.59,8.12,20605,11.19,32.08,21.77,19.27,11.33,17.3
28131,San Lorenzo de El Escorial,Madrid,18088,16.50,9.56,47.88,52.12,41.43,7.39,3.99,7.73,40.28,6.79,24970,19.72,23.89,20.42,15.27,17.62,21.83
28132,San Martín de la Vega,Madrid,18784,9.52,17.61,50.94,49.06,36.60,2.86,6.37,9.78,52.41,10.19,19163,11.93,31.36,18.57,16.53,17.67,24.88
28134,San Sebastián de los Reyes,Madrid,87724,13.88,9.97,48.85,51.15,39.10,19.23,6.46,8.07,45.74,6.74,26447,15.74,26.99,24.42,16.02,13.6,19.21
28148,Torrejón de Ardoz,Madrid,129729,13.81,15.49,49.26,50.74,39.10,17.47,6.99,10.12,52.39,9.78,20531,15.67,28.85,22.58,16.73,12.43,20.79
28152,Torrelodones,Madrid,23361,12.82,6.83,48.11,51.89,38.81,42.19,1.87,3.52,32.04,4.31,37850,21.43,17.83,26.65,10.68,20.78,15.64
28160,Valdemorillo,Madrid,12280,13.60,11.86,50.35,49.65,39.60,10.59,5.39,4.58,43.98,7.55,25608,18.41,21.4,22.48,14.71,19.72,20.03
28161,Valdemoro,Madrid,74745,9.13,9.16,49.48,50.52,36.24,14.00,4.27,6.88,50.00,9.12,22482,13.09,23.69,24.17,15.31,20.16,19.73
28167,Velilla de San Antonio,Madrid,12193,7.97,10.00,50.41,49.59,36.77,9.36,4.80,6.15,55.67,7.73,21466,11.46,28.75,23.92,18.23,14.2,17.69
28172,Villalbilla,Madrid,13421,9.14,6.58,50.56,49.44,36.14,11.37,3.03,5.41,49.42,6.71,25531,16.11,19.87,26.17,13.33,20.91,18.55
28176,Villanueva de la Cañada,Madrid,21000,10.68,15.85,48.75,51.25,37.15,20.87,2.06,4.29,36.70,4.83,36863,25.39,16.16,24.98,8.83,21.72,17.44
28177,Villanueva del Pardillo,Madrid,17127,7.67,11.57,48.64,51.36,34.81,3.95,2.87,5.47,36.07,5.90,28970,18.26,20.1,27.54,10.93,20.33,15.19
28181,Villaviciosa de Odón,Madrid,27596,18.60,8.08,48.38,51.62,41.79,15.74,2.95,6.98,41.23,5.07,32370,24.8,18.12,24.16,10.25,20.02,16.24
28903,Tres Cantos,Madrid,46750,12.05,6.73,48.54,51.46,38.95,27.02,1.82,4.09,35.39,4.60,31929,16.7,25.29,25.74,16.17,13.4,13.74
31016,Ansoáin,Navarra,10739,15.07,7.12,49.21,50.79,39.60,28.46,4.30,9.05,52.38,8.45,11386.6744,0.0,31.22,18.6,27.52,2.24,21.13
31023,Aranguren,Navarra,10512,8.42,5.15,50.38,49.62,35.04,6.36,1.50,4.57,37.20,4.40,14667.3982,0.0,22.28,18.6,21.1,6.0,16.27
31060,Burlada,Navarra,18934,18.26,9.26,48.34,51.66,42.04,36.83,4.34,14.28,50.89,9.10,11450.9348,0.0,27.74,18.6,23.94,2.99,25.41
31086,Valle de Egüés,Navarra,20774,4.66,5.68,50.34,49.66,31.95,2.41,1.36,3.72,37.85,5.86,13407.2308,0.0,20.48,18.6,23.21,5.77,19.06
31097,Estella-Lizarra,Navarra,13673,23.20,8.64,47.94,52.06,44.72,14.82,4.87,14.44,48.20,10.19,11771.2564,0.0,23.46,18.6,17.97,3.66,27.74
31201,Pamplona,Navarra,199066,22.16,9.82,47.28,52.72,44.00,45.17,3.36,10.64,45.92,8.86,13080.2135,0.0,23.65,18.6,18.69,4.23,23.63
31227,Tafalla,Navarra,10605,22.35,8.75,49.24,50.76,44.64,1.13,3.35,10.72,56.49,7.30,12129.5746,0.0,28.24,18.6,23.12,2.4,23.59
31232,Tudela,Navarra,35593,17.87,12.60,49.16,50.84,41.77,2.46,5.44,12.05,50.28,10.37,11362.7438,0.0,28.77,18.6,15.96,10.97,25.78
31258,Villava,Navarra,10150,17.55,6.45,48.97,51.03,42.54,62.59,2.63,10.28,54.84,8.19,12588.6164,0.0,23.47,18.6,22.8,2.0,21.45
31901,Barañain,Navarra,20039,18.86,9.71,48.28,51.72,43.49,63.30,2.20,8.75,48.28,7.55,13040.6147,0.0,27.88,18.6,21.35,4.14,21.18
31903,Berriozar,Navarra,10167,12.23,12.51,50.45,49.55,37.67,26.21,6.11,13.51,47.95,10.60,10395.4985,0.0,29.77,18.6,24.35,3.72,27.69
31907,Zizur Mayor,Navarra,14891,10.62,5.48,48.92,51.08,38.05,25.96,1.75,5.10,44.28,5.60,13893.6291,0.0,23.49,18.6,23.1,4.86,17.75
01002,Amurrio,Araba / Álava,10286,21.28,6.17,49.34,50.66,44.03,2.67,5.76,11.62,53.97,11.72,16036,5.03,16.82,1.67,16.06,2.47,22.5
01036,Laudio,Araba / Álava,18205,25.02,4.83,49.32,50.68,46.43,5.60,6.99,17.14,46.80,10.15,15841,6.9,20.69,2.24,17.56,1.92,26.55
01059,Vitoria-Gasteiz,Araba / Álava,249176,20.57,9.34,48.70,51.30,43.44,9.96,5.14,10.67,50.12,9.59,16848,15.36,24.25,4.45,18.27,3.37,29.58
20009,Andoain,Gipuzkoa,14618,22.51,5.41,49.32,50.68,44.28,4.25,6.22,12.75,52.83,7.15,16703,4.41,24.77,3.04,19.28,1.14,28.45
20017,Azkoitia,Gipuzkoa,11609,19.02,8.63,49.69,50.31,41.84,2.10,6.45,14.70,47.17,7.03,17802,2.36,12.23,1.48,12.76,1.09,25.81
20018,Azpeitia,Gipuzkoa,14786,20.80,6.91,49.96,50.04,42.58,2.13,4.82,13.90,50.45,6.23,18042,1.91,6.28,0.83,7.69,0.42,27.38
20019,Beasain,Gipuzkoa,13881,19.55,11.99,49.98,50.02,42.44,3.33,7.14,8.38,52.12,5.93,20162,3.43,18.32,1.88,16.04,0.78,27.1
20030,Eibar,Gipuzkoa,27406,24.63,7.96,48.51,51.49,45.79,4.89,6.52,13.93,50.82,9.55,19293,5.34,27.51,2.03,18.28,1.34,25.79
20032,Elgoibar,Gipuzkoa,11582,22.16,8.25,49.47,50.53,44.13,3.05,10.74,11.13,48.71,7.08,18336,4.03,17.17,2.22,14.08,0.81,25.23
20036,Hondarribia,Gipuzkoa,17018,22.18,5.55,49.72,50.28,44.15,10.42,3.75,9.94,46.73,5.40,19001,4.63,14.08,2.69,18.38,1.79,25.24
20040,Hernani,Gipuzkoa,20222,19.84,6.68,48.91,51.09,43.56,5.56,6.75,11.47,50.96,6.57,16452,2.76,15.8,2.02,19.91,0.95,27.38
20045,Irun,Gipuzkoa,61983,21.28,9.59,48.89,51.11,44.09,12.04,5.80,13.24,51.06,8.92,15122,7.26,29.09,4.91,22.11,3.33,27.6
20055,Arrasate,Gipuzkoa,22019,24.45,6.76,49.15,50.85,45.97,5.74,5.73,13.86,46.62,8.18,19173,3.54,18.85,1.67,16.98,0.85,27.7
20059,Oñati,Gipuzkoa,11335,22.81,4.26,49.41,50.59,44.14,1.49,5.77,12.49,45.23,4.33,21622,2.0,8.52,0.56,10.55,0.27,23.4
20063,Oiartzun,Gipuzkoa,10276,19.20,3.89,49.66,50.34,42.73,3.73,5.99,12.73,47.39,5.28,17613,1.83,7.19,0.9,15.32,0.6,25.06
20064,Pasaia,Gipuzkoa,16128,22.36,8.04,47.98,52.02,44.89,7.46,7.03,15.48,52.11,9.19,14549,4.39,21.93,2.37,22.61,1.26,29.8
20067,Errenteria,Gipuzkoa,39355,23.42,6.60,48.37,51.63,44.84,7.55,8.07,13.38,52.58,8.40,15168,4.59,26.54,2.88,23.77,1.24,28.24
20069,Donostia,Gipuzkoa,186665,23.66,7.08,47.02,52.98,45.71,22.64,3.68,10.08,44.55,6.53,20206,8.38,21.09,4.6,17.9,2.73,24.82
20071,Tolosa,Gipuzkoa,19525,22.01,6.86,48.30,51.70,43.89,4.13,3.73,12.72,48.70,7.02,18927,2.65,12.24,1.41,14.66,0.77,26.24
20074,Bergara,Gipuzkoa,14596,23.65,6.19,49.72,50.28,45.54,2.50,6.64,13.89,48.90,5.97,19289,2.19,11.93,1.24,14.35,0.4,23.79
20076,Ordizia,Gipuzkoa,10150,19.43,15.88,49.22,50.78,41.98,12.52,6.26,12.41,47.94,7.49,18238,3.67,15.91,1.58,17.36,1.03,25.1
20079,Zarautz,Gipuzkoa,23223,19.95,5.39,48.69,51.31,43.07,9.54,4.55,9.66,45.26,5.55,18902,3.72,13.39,1.89,14.54,1.24,22.53
20081,Zumaia,Gipuzkoa,10044,18.14,5.36,49.82,50.18,41.44,11.02,5.45,11.27,48.86,6.18,18725,2.29,15.0,1.18,13.94,0.59,26.47
20902,Lasarte-Oria,Gipuzkoa,18253,24.31,7.35,48.61,51.39,45.07,14.12,7.21,13.88,51.09,7.21,16032,6.23,30.65,4.4,19.52,2.03,25.76
